dcg,mbf
136396,11
27688,2
190893,3
113044,2
14453,5
446814,1
20758,3
101468,2
272598,1
18424,1
284007,1
36820,6
25840,8
42254,16
4664,1
11725,3
34074,6
323568,7
124059,4
27697,1
169184,2
227189,7
25436,5
232145,3
47524,2
77913,2
201725,1
18760,2
