dcg,mbf
1830,2835
1719,2342
3279,3421
1936,5397
1821,2342
2912,4254
4544,5050
3024,6658
2324,2560
2365,4001
1802,4000
3078,3255
4068,6981
948,1034
3174,3707
1377,2904
1161,1490
3072,3638
8128,8971
830,3965
2754,3255
3184,5741
1235,1850
4485,4598
2993,4046
5002,5196
2366,3162
5330,5398
